inbred,reason,,,
Tx601,germination,,,
NC340,germination,,,
P39,pic fail,,,
Tzi8,pic fail,,,
Mo45,roots hidden on too many,,,
I205,germination,,,
Ky226,WS had too few,,,
B57,low germination,,,
CML247,low germination,,,
4722,zero germination,,,
B46,low germination,,,
Ki43,low germination,,,
B14A,low germination,,,
NC298,low germination,,,
CO255,moldy after initial imbibe,,,
A635,low germination,,,
CML333,low germination,,,
Ki2021,low germination,,,
W153R,pic fail,,,
B103,pic fail ,,,
U267Y,zero germination,,,
NC344,pic fail ,,,***17 redos not including the germination fails
F6,low germination,,,
B10,no germ,,,
A659,low germination,,,
IL677A,cassette broke,,,
Ki3,low germination,,,
CML311,low germination,,,
B105,RootBot fail,,,
CML69,low germination,,,
B52,broken cassette,,,
CML38,low germination,,,
IDS69,low germination,,,
CM7,low germination,,,
Ky21,pic fail ,,,
B64,pic fail ,,,
B73Htrhm,pic fail ,,,
K4,pic fail ,,,
Mt42,pic fail ,,,
CML341,pic fail ,,,
H99,pic fail ,,,
Hi27,pic fail ,,,
M047,pic fail ,,,
NC302,pic fail ,,,
